product_id,attibutename,attributevalue
268353763,blouse_color,Black
268400206,blouse_color,Green
268402728,blouse_color,Purple
268327024,blouse_color,Pink
268649574,blouse_color,Blue
268578991,blouse_color,Multicolor
268323953,blouse_color,Blue
268545695,blouse_color,Black
268597253,blouse_color,Green
268418438,blouse_color,Red
268533918,blouse_color,Not Available
268565769,blouse_color,Black
268320616,blouse_color,Black
268544966,blouse_color,Red
268370756,blouse_color,Yellow
268439594,blouse_color,Purple
268421034,blouse_color,Purple
268558521,blouse_color,Blue
268378886,blouse_color,Black
268544125,blouse_color,White
268283635,blouse_color,Red
268286728,blouse_color,Green
268305293,blouse_color,Brown
268373329,blouse_color,Red
268493262,blouse_color,Not Available
268485453,blouse_color,Maroon
268563043,blouse_color,Green
268373335,blouse_color,Silver
268557261,blouse_color,Black
268255463,blouse_color,Black
268574192,blouse_color,Red
268505123,blouse_color,Maroon
268022368,blouse_color,Red
268316849,blouse_color,Black
268402406,blouse_color,Black
268557551,blouse_color,Multicolor
268601788,blouse_color,Olive
268376869,blouse_color,Blue
268306536,blouse_color,Green
268420314,blouse_color,Multicolor
268420883,blouse_color,Multicolor
268414961,blouse_color,Red
268614956,blouse_color,Black
268562791,blouse_color,Red
268436545,blouse_color,Blue
268508309,blouse_color,Blue
268258618,blouse_color,Maroon
268573597,blouse_color,Not Available
268265424,blouse_color,Not Available
268607499,blouse_color,Multicolor
268548358,blouse_color,Green
268282417,blouse_color,Grey
268490599,blouse_color,Pink
268531701,blouse_color,Multicolor
268574394,blouse_color,Black
268565770,blouse_color,Not Available
268483873,blouse_color,Not Available
268458551,blouse_color,Pink
268352779,blouse_color,Red
268330483,blouse_color,Red
268405571,blouse_color,Black
268464797,blouse_color,Black
268135359,blouse_color,Purple
268133626,blouse_color,Purple
268563770,blouse_color,Yellow
268262817,blouse_color,Red
268385275,blouse_color,Multicolor
268529450,blouse_color,Multicolor
268051629,blouse_color,Not Available
268416000,blouse_color,Pink
268430506,blouse_color,Grey
268605161,blouse_color,Beige
268448755,blouse_color,Black
268560936,blouse_color,Pink
268543066,blouse_color,Black
268449244,blouse_color,Red
268554139,blouse_color,Red
268574255,blouse_color,Not Available
268408212,blouse_color,Multicolor
268286945,blouse_color,Brown
268441085,blouse_color,Black
268101003,blouse_color,Grey
268270500,blouse_color,Multicolor
268438606,blouse_color,Not Available
268432940,blouse_color,Black
268531708,blouse_color,Maroon
268428367,blouse_color,Black
268409637,blouse_color,Multicolor
268522676,blouse_color,Not Available
268386122,blouse_color,Not Available
268277527,blouse_color,Green
268639615,blouse_color,Blue
268362469,blouse_color,Maroon
268432645,blouse_color,Green
268381569,blouse_color,Blue
268491185,blouse_color,Multicolor
268371578,blouse_color,Not Available
268474656,blouse_color,Blue
268548371,blouse_color,Red
268531873,blouse_color,Pink
268467163,blouse_color,Not Available
268410120,blouse_color,Navy Blue
268501254,blouse_color,Maroon
268400368,blouse_color,Red
268301996,blouse_color,Pink
268376322,blouse_color,Multicolor
268567828,blouse_color,Maroon
268454870,blouse_color,Not Available
268541051,blouse_color,Not Available
268417616,blouse_color,Black
268605972,blouse_color,Multicolor
268558338,blouse_color,Not Available
268424483,blouse_color,Multicolor
268113041,blouse_color,Grey
268272176,blouse_color,Pink
268282331,blouse_color,Red
268523756,blouse_color,Not Available
268386578,blouse_color,Orange
268314909,blouse_color,Pink
268330350,blouse_color,Purple
268302209,blouse_color,Red
268433488,blouse_color,Green
268411996,blouse_color,Multicolor
268456777,blouse_color,Navy Blue
268574432,blouse_color,Pink
268421672,blouse_color,Red
268264366,blouse_color,Not Available
268326144,blouse_color,Black
268389303,blouse_color,Green
268405010,blouse_color,Beige
268544971,blouse_color,Not Available
268395945,blouse_color,Red
268575418,blouse_color,Yellow
268416044,blouse_color,Multicolor
268430012,blouse_color,Black
